Titel,Orginaltitel,År,Regissör,Ditt betyg,Datum,IMDB#
The Ground Beneath,The Ground Beneath,2008,Rene Hernandez,,,1267384
Good Luck Chuck,Good Luck Chuck,2007,Mark Helfrich,,,452625
Hamlet 2,Hamlet 2,2008,Andrew Fleming,,,1104733
I Do (But I Don't),I Do (But I Don't),2004,Kelly Makin,,,420683
Taxi,Taxi,1998,Gérard Pirès,,,152930
Luftslottet som sprängdes,Luftslottet som sprängdes,2009,Daniel Alfredson,,,1343097
D-War,D-War,2007,Shim Hyung-rae,,,372873
Allt flyter,Allt flyter,2008,Måns Herngren,,,1209367
Hämnd på ögonvittne,Friday Foster,1975,Arthur Marks,,,73019
Antichrist,Antichrist,2009,Lars von Trier,,,870984
Generation Kill,Generation Kill,2008,"Susanna White, Simon Cellan Jones",,,995832
Drag Me to Hell ,Drag Me to Hell ,2009,Sam Raimi,,,1127180
Jade,Jade,1995,William Friedkin,,,113451
Bröllopsfotografen,Bröllopsfotografen,2009,Ulf Malmros,,,1359421
Year One,Year One,2009,Harold Ramis,,,1045778
Bröllopsduellen,Bride Wars,2009,Gary Winick,,,901476
G-Force,G-Force,2009,Hoyt Yeatman,,,436339
Appaloosa,Appaloosa,2008,Ed Harris,,,800308
Rebound,Rebound,2005,Steve Carr,,,376108
Cadillac Man,Cadillac Man,1990,Roger Donaldson,,,99204
2012,2012,2009,Roland Emmerich,,,1190080
Upp,Up,2009,"Pete Docter, Bob Peterson",,,1049413
New Moon,The Twilight Saga: New Moon,2009,Chris Weitz,,,1259571
Fifty Dead Men Walking,Fifty Dead Men Walking,2008,Kari Skogland,,,1097643
Änglar och demoner,Angels and Demons,2009,Ron Howard,,,808151
Boxaren,The Boxer,1997,Jim Sheridan,,,118760
Sommaren med Göran,Sommaren med Göran,2009,Staffan Lindberg,,,1305869
In the Electric Mist,In the Electric Mist,2009,Bertrand Tavernier,,,910905
Don Angelo är död,The Don is Dead,1973,Richard Fleischer,,,69989
Demonernas port,Rashômon,1950,Akira Kurosawa,,,42876
Timmarna med Rita,Educating Rita,1983,Lewis Gilbert,,,85478
Fröken April,Fröken April,1958,Göran Gentele,,,51641
Kvinnors väntan,Kvinnors väntan,1952,Ingmar Bergman,,,44811
The Sun King,Solkongen,2005,Tomas Villum Jensen,,,403522
Vägen hem,Vägen hem,2009,Karin Swärd,,,1355232
Mer än bara vänner,Elephant Juice,1999,Sam Miller,,,188583
Two Much,Two Much,1995,Fernando Trueba,,,118001
Fanboys,Fanboys,2008,Kyle Newman,,,489049
The Brooke Ellison Story,The Brooke Ellison Story,2004,Christopher Reeve,,,407612
"Min långe, lurvige vän",Big and Hairy,1998,Philip Spink,,,134316
Tomtar och troll,Gnomes and Trolls: The Secret Chamber,2008,Robert Rhodin,,,1124374
Beck - Mannen utan ansikte,Beck - Mannen utan ansikte,2001,Harald Hamrell,,,300983
Kaena: The Prophecy,Kaena: La prophétie,2003,"Chris Delaporte, Pascal Pinon",,,297753
Clayboys on Monster Island,Clayboys on Monster Island,1996,"Dennis Haga, Kim Hansen, Björn Björnsson, Fredrik Ahston, Poke Stolt, Anders Fransson",,,441153
Control Alt Delete,Control Alt Delete,2003,Magnus Gillberg,,,441159
Dog Walk,Dog Walk,1995,Johannes Pinter,,,437158
2/6 02:32:09,2/6 02:32:09,2004,"Simon Möller, Amanda Wickman",,,441082
Facts are Safety,Facts are Safety,2001,Nicolas Debot,,,270354
SkuggFaxe,SkuggFaxe,2004,Mathias Jonsson,,,441493
Phantom Miscarriage ,Phantom Miscarriage ,1999,Pontus Lundkvist,,,441435
Zombie Psycho STHLM,Zombie Psycho STHLM,2004,Micke Engström,,,441567
Nim och den hemliga ön,Nim's Island,2008,"Jennifer Flackett, Mark Levin",,,410377
Den oändliga historien 3,The Neverending Story III,1994,Peter MacDonald,,,110647
När Stella fick tillbaka lusten,How Stella Got Her Groove Back,1998,Kevin Rodney Sullivan,,,120703
De tre musketörerna,The Three Musketeers,1973,Richard Lester,,,72281
Igby Goes Down,Igby Goes Down,2002,Burr Steers,,,280760
Paranormal Activity,Paranormal Activity,2007,Oren Peli,,,1179904
Observe and Report,Observe and Report,2009,Jody Hill,,,1197628
Zombieland,Zombieland,2009,Ruben Fleischer,,,1156398
Inglourious Basterds,Inglourious Basterds,2009,Quentin Tarantino,,,361748
Den eviga staden,Den eviga staden,2007,Ville Jegerhjelm,,,
Perfect Stranger,Perfect Stranger,2007,James Foley,,,457433
The First Bad Man,The First Bad Man,1955,Tex Avery,,,48074
Big Heel-Watha,Big Heel-Watha,1944,Tex Avery,,,36643
Delvis molnigt,Partly Cloudy,2009,Peter Sohn,,,1425244
Redemption: The Stan Tookie Williams Story,Redemption: The Stan Tookie Williams Story,2004,Vondie Curtis-Hall,,,388367
Public Enemies,Public Enemies,2009,Michael Mann,,,1152836
High School Musical 2,High School Musical 2,2007,Kenny Ortega,,,810900
G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra,2009,Stephen Sommers,,,1046173
Sopåkarna,Men at Work,1990,Emilio Estevez,,,100135
"Patrik 1,5","Patrik 1,5",2008,Ella Lemhagen,,,1067733
Vi hade i alla fall tur med vädret - igen,Vi hade i alla fall tur med vädret - igen,2008,Kjell-Åke Andersson,,,1307466
Avatar,Avatar,2009,James Cameron,,,499549
Harry Potter och halvblodsprinsen,Harry Potter and the Half-Blood Prince,2009,David Yates,,,417741
Flickan som lekte med elden,Flickan som lekte med elden,2009,Daniel Alfredson,,,1216487
Baksmällan,The Hangover,2009,Todd Phillips,,,1119646
In the Name of the King: A Dungeon Siege Tale,In the Name of the King: A Dungeon Siege Tale,2006,Uwe Boll,,,460780
Love & Sex,Love & Sex,2000,Valerie Breiman,,,234137
Erövraren,The Conqueror,1956,Dick Powell,,,49092
Terminator Salvation,Terminator Salvation,2009,McG,,,438488
Julie,Julie,2004,Deepak Shivdasani,,,421277
Pluto i skafferiet,Pantry Pirate,1940,Clyde Geronimi,,,32886
The Librarian: Return to King Solomon's Mines,The Librarian: Return to King Solomon's Mines,2006,Jonathan Frakes,,,455596
Flykten från hönsgården,Chicken Run,2000,"Peter Lord, Nick Park",,,120630
Woman on Top,Woman on Top,2000,Fina Torres,,,206420
7 äventyr,The Magic Sword,1962,Bert I Gordon,,,56211
A Nymphoid Barbarian in Dinosaur Hell,A Nymphoid Barbarian in Dinosaur Hell,1991,Brett Piper,,,102569
State of Play,State of Play,2009,Kevin Macdonald (I),,,473705
The Poseidon Adventure,The Poseidon Adventure,2005,John Putch,,,419358
Tekken: The Motion Picture,Tekken: The Motion Picture,1997,Ryota Yamaguchi,,,272880
I Coltelli del vendicatore,I Coltelli del vendicatore,1966,Mario Bava,,,59045
Legend of the Chihuahua,Legend of the Chihuahua,2009,Philip Pignotti,,,1415884
Chihuahuan från Beverly Hills,Beverly Hills Chihuahua,2008,Raja Gosnell,,,1014775
Narc,Narc,2002,Joe Carnahan,,,272207
Skyskrapan brinner,The Towering Inferno,1974,"John Guillermin, Irwin Allen",,,72308
Gestapo's Last Orgy,L'ultima orgia del III Reich,1976,Cesare Canevari,,,74569
Sharpe's Honour,Sharpe's Honour,1994,Tom Clegg,,,111158
The Day the Earth Stood Still,The Day the Earth Stood Still,2008,Scott Derrickson,,,970416
Trogen tjur sökes,Someone Like You,2001,Tony Goldwyn,,,244970
Resan till Amerika: Fievel i vilda västern,An American Tail: Fievel Goes West,1991,Phil Nibbelink,,,101329
Fatal Instinct,Fatal Instinct,1993,Carl Reiner,,,106873
Zelly och jag,Zelly and me,1988,Tina Rathborne,,,96501
Män som hatar kvinnor,Män som hatar kvinnor,2009,Niels Arden Oplev,,,1132620
The Proposal,The Proposal,2009,Anne Fletcher,,,1041829
Apple Jack,Apple Jack,2003,Mark Whiting,,,298737
Spjutets härskare,End of the Spear,2006,Jim Hanon,,,399862
Uptown Girls,Uptown Girls,2003,Boaz Yakin,,,263757
One Ham's Family ,One Ham's Family ,1943,Tex Avery,,,36238
Främlingars tröst,The Comfort of Strangers,1990,Paul Schrader,,,99292
Kvarterets olycksfågel,Kvarterets olycksfågel,1948,Per G Holmgren,,,40518
Hell Ride,Hell Ride,2008,Larry Bishop,,,411475
Miraklet på 8:e gatan,*batteries not included ,1987,Matthew Robbins,,,92494
Blueberry,Blueberry,2004,Jan Kounen,,,276830
Lolita,Lolita,1962,Stanley Kubrick,,,56193
Dödens tentakler,Tentacoli,1977,Ovidio G Assonitis,,,76809
Fire Serpent,Fire Serpent,2007,John Terlesky,,,471561
The Librarian: Quest for the Spear,The Librarian: Quest for the Spear,2004,Peter Winther,,,412915
Sharpe's Enemy,Sharpe's Enemy,1994,Tom Clegg,,,111157
Sharpe's Company,Sharpe's Company,1994,Tom Clegg,,,111156
Mirakel till salu,Leap of Faith,1992,Richard Pearce,,,104695
När hjärtat blir varmt,The Shadow Dancer,2005,Brad Mirman,,,376181
X-Men Origins: Wolverine,X-Men Origins: Wolverine,2009,Gavin Hood,,,458525
Cotton Mary,Cotton Mary,1999,Ismail Merchant,,,159373
Den levande skogen,Den levande skogen,1966,Stig Wesslén,,,60627
Den vita massajen,Die weisse Massai,2005,Hermine Huntgeburth,,,436889
Wallace & Gromit  Varulvskaninens förbannelse,Wallace & Gromit in The Curse of the Were-Rabbit,2005,"Steve Box, Nick Park",,,312004
Fido,Fido,2006,Andrew Currie,,,457572
The In-Laws,The In-Laws,2003,Andrew Fleming,,,314786
Everything's Gone Green,Everything's Gone Green,2006,Paul Fox (II),,,461946
Date Movie,Date Movie,2006,"Jason Friedberg, Aaron Seltzer",,,466342
Motstånd,Defiance,2008,Edward Zwick,,,1034303
Bläckhjärta,Inkheart,2008,Iain Softley,,,494238
Sharpe's Eagle,Sharpe's Eagle,1993,Tom Clegg,,,108107
Sharpe's Rifles,Sharpe's Rifles,1993,Tom Clegg,,,108108
The Boat That Rocked,The Boat That Rocked,2009,Richard Curtis,,,1131729
Nils Holgerssons underbara resa,Nils Holgerssons underbara resa,1962,Kenne Fant,,,56281
I Love Sarah Jane,I Love Sarah Jane,2008,Spencer Susser,,,1157658
Dirty Love,Dirty Love,2005,John Mallory Asher,,,327643
U.S. Marshals,U.S. Marshals,1998,Stuart Baird,,,120873
Cookie's Fortune,Cookie's Fortune,1999,Robert Altman,,,126250
Bring It On: All or Nothing,Bring It On: All or Nothing,2006,Steve Rash,,,490822
Crank 2: High Voltage,Crank: High Voltage,2009,"Mark Neveldine, Brian Taylor",,,1121931
Svart bok,Zwartboek,2006,Paul Verhoeven,,,389557
Watchmen,Watchmen,2009,Zack Snyder,,,409459
Simone,S1m0ne,2002,Andrew Niccol,,,258153
Underworld: Rise of the Lycans,Underworld: Rise of the Lycans,2009,Patrick Tatopoulos,,,834001
"Bang, Bang... You're Dead",Bang Bang You're Dead,2002,Guy Ferland,,,288439
2 dagar i Paris,2 Days in Paris,2007,Julie Delpy,,,841044
Valkyria,Valkyrie,2008,Bryan Singer,,,985699
Revolutionary Road,Revolutionary Road,2008,Sam Mendes,,,959337
Burn-E,BURN·E,2008,Angus MacLane,,,1334585
The Haunting in Connecticut ,The Haunting in Connecticut ,2009,Peter Cornwell,,,492044
SS Lager 5 - Womens Hell,SS Lager 5 l'inferno delle donne ,1976,Sergio Garrone,,,147310
Benjamin Buttons otroliga liv,The Curious Case of Benjamin Button,2008,David Fincher,,,421715
Mr. Wonderful,Mr. Wonderful,1993,Anthony Minghella,,,107613
Carry Me Home,Carry Me Home,2004,Jace Alexander,,,353273
Fuskarna,Cheats,2002,Andrew Gurland,,,250292
Eastern Promises,Eastern Promises,2007,David Cronenberg,,,765443
In the Land of Women,In the Land of Women,2007,Jon Kasdan,,,419843
Layer Cake,Layer Cake,2004,Matthew Vaughn,,,375912
Waz,w Delta z,2007,Tom Shankland,,,804552
Sky Kids ,The Flyboys,2008,Rocco DeVilliers,,,357668
Det svänger om Askungen,Swing Shift Cinderella,1945,Tex Avery,,,38143
The Screwy Truant,The Screwy Truant,1945,Tex Avery,,,38060
Another Pretty Face,Another Pretty Face,2002,Ray Vega,,,338722
Space Chimps,Space Chimps,2008,Kirk De Micco,,,482603
Derailed,Derailed,2005,Mikael Håfström,,,398017
Guldgrävar-Droopy,The Shooting Of Dan McGoo,1945,Tex Avery,,,38087
Who Killed Who?,Who Killed Who?,1943,Tex Avery,,,36535
Morgan Pålsson - världsreporter,Morgan Pålsson - världsreporter,2008,Fredrik Boklund,,,1135941
Död snö,Død snø,2009,Tommy Wirkola,,,1278340
"Bigger, Stronger, Faster","Bigger, Stronger, Faster",2008,Chris Bell,,,1151309
Old Boy - hämnden,Oldboy,2003,Park Chan-wook,,,364569
Big Bounce,The Big Bounce,2004,George Armitage,,,315824
Dark Prince,Dark Prince: The True Story of Dracula,2000,Joe Chappelle,,,240793
Droopy på förbrytarjakt,Dumb-Hounded,1943,Tex Avery,,,35832
Sommarmåne,The Man in the Moon,1991,Robert Mulligan,,,102388
Tupplurad,The Early Bird Dood It!,1942,Tex Avery,,,34692
Halloween,Halloween,2007,Rob Zombie,,,373883
Blitz Wolf,Blitz Wolf,1942,Tex Avery,,,34524
En vanvettig ekorre,Screwball Squirrel,1944,Tex Avery,,,37251
Röda draken,Manhunter,1986,Michael Mann,,,91474
The Man,The Man,2005,Les Mayfield,,,399327
Shallow Ground,Shallow Ground,2004,Sheldon Wilson,,,369918
Da Vinci-koden,The Da Vinci Code,2006,Ron Howard,,,382625
Trollkarlen från Övärlden,Earthsea,2004,Robert Lieberman,,,407384
Dead Birds,Dead Birds,2004,Alex Turner,,,377749
Caramel,Sukkar banat,2007,Nadine Labaki,,,825236
Hannah med H,Hannah med H,2003,Christina Olofson,,,353525
Ken Park,Ken Park,2002,"Larry Clark (I), Edward Lachman",,,209077
Pirater,Pirates,1986,Roman Polanski,,,91757
Älskar dig för evigt,Elsker dig for evigt,2002,Susanne Bier,,,315543
God's Army,The Prophecy,1995,Gregory Widen,,,114194
Son of Rambow,Son of Rambow,2007,Garth Jennings,,,845046
The Locals,The Locals,2003,Greg Page,,,387357
Runaway Train,Runaway Train,1985,Andrej Konchalovskij,,,89941
The Wrestler,The Wrestler,2008,Darren Aronofsky,,,1125849
Midvinterduell,Midvinterduell,1983,Lars Molin,,,193321
Ran,Ran,1985,Akira Kurosawa,,,89881
Natten lång,The Allnighter,1987,Tamar Simon Hoffs,,,92537
Inside,À l'intérieur,2007,"Alexandre Bustillo, Julien Maury",,,856288
The Wackness,The Wackness,2008,Jonathan Levine,,,1082886
Yes Man,Yes Man,2008,Peyton Reed,,,1068680
Kärlekens språk 2000,Kärlekens språk 2000,2004,Anders Lennberg,,,330541
Om Stig Petrés hemlighet,Om Stig Petrés hemlighet,2004,Harald Hamrell,,,448192
2:37,2:37,2006,Murali K Thalluri,,,472582
Snow Angels,Snow Angels,2007,David Gordon Green,,,453548
Searching for the Wrong-Eyed Jesus,Searching for the Wrong-Eyed Jesus,2003,Andrew Douglas,,,389361
Transsiberian,Transsiberian,2008,Brad Anderson,,,800241
Om jag vänder mig om,Om jag vänder mig om,2003,Björn Runge,,,347457
Mord i kloster,Suor Omicidi,1979,Giulio Berruti (I),,,78343
Far Cry,Far Cry,2008,Uwe Boll,,,400426
Livet från den andra sidan,Ghost Town,2008,David Koepp,,,995039
Honungsbiets hemliga liv,The Secret Life of Bees,2008,Gina Prince-Bythewood,,,416212
"The Good, the Bad, the Weird",Joheunnom nabbeunnom isanghannom,2008,Kim Ji-woon,,,901487
Caligula: The Untold Story,Caligola: La storia mai raccontata ,1981,Joe D\'Amato,,,82133
Reform School Girls ,Reform School Girls ,1986,Tom DeSimone,,,91836
Women in Cages,Women in Cages,1971,Gerardo de Leon,,,67995
Punisher: War Zone,Punisher: War Zone,2008,Lexi Alexander,,,450314
Body of Lies,Body of Lies,2008,Ridley Scott,,,758774
Slumdog Millionaire,Slumdog Millionaire,2008,Danny Boyle,,,1010048
Marley och jag,Marley & Me,2008,David Frankel,,,822832
Maria Larssons eviga ögonblick,Maria Larssons eviga ögonblick,2008,Jan Troell,,,961066
Rallybrudar,Rallybrudar,2008,Lena Koppel,,,1139805
Captain Alatriste,Alatriste,2006,Agustín Díaz Yanes,,,395119
Bare Behind Bars,A Prisão,1980,Oswaldo De Oliveira,,,171089
Chained Heat,Chained Heat,1983,Paul Nicholas,,,85318
Werewolf in a Women's Prison,Werewolf in a Women's Prison,2006,Jeff Leroy,,,815258
Australia,Australia,2008,Baz Luhrmann,,,455824
Quantum of Solace,Quantum of Solace,2008,Marc Forster,,,830515
Incendiary,Incendiary,2008,Sharon Maguire,,,984200
The Big Bird Cage,The Big Bird Cage,1972,Jack Hill,,,68273
The Big Doll House,The Big Doll House,1971,Jack Hill,,,66830
Bolt,Bolt,2008,"Byron Howard, Chris Williams (I)",,,397892
Twilight,Twilight,2008,Catherine Hardwicke,,,1099212
Changeling,Changeling,2008,Clint Eastwood,,,824747
Seven Pounds,Seven Pounds,2008,Gabriele Muccino,,,814314
Ba'al,Ba'al,2008,Paul Ziller,,,1122761
Barbed Wire Dolls,Frauengefängnis,1975,Jesus Franco,,,73017
Pansarkryssaren Potemkin,Bronenosets Potyomkin,1925,Sergej M Eisenstein,,,15648
My Name Is Bruce ,My Name Is Bruce ,2007,Bruce Campbell,,,489235
Barry Lyndon,Barry Lyndon,1975,Stanley Kubrick,,,72684
Any Given Sunday,Any Given Sunday,1999,Oliver Stone,,,146838
Mannen från Mars,The Day the Earth Stood Still,1951,Robert Wise,,,43456
Sounds From a Town I Love,Sounds From a Town I Love,2001,Woody Allen,,,299150
The Butcher and the Wolf,The Butcher and the Wolf,2008,Diego Mauricio Alvarez,,,
President McKinley's Speech at the Pan-American Exposition,President McKinley's Speech at the Pan-American Exposition,1901,,,,232458
Midway of Charleston exposition,Midway of Charleston exposition,1902,,,,368029
Dickie Roberts,Dickie Roberts: Former Child Star,2003,Sam Weisman,,,325258
Haunted House,Haunted House,1929,Walt Disney,,,19968
The Untamable Whiskers,Le roi du maquillage,1904,Georges Méliès,,,135631
Duck and Cover,Duck and Cover,1951,Anthony Rizzo,,,213381
Mickey's Revue,Mickey's Revue,1932,Wilfred Jackson,,,23217
The Miracle of Flight,The Miracle of Flight,1974,Terry Gilliam,,,344070
Around and About,Around and About,1980,Gary Hill,,,-1
Ain't She Sweet,Ain't She Sweet,1933,Dave Fleischer,,,23747
Abraço do Vento,Abraço do Vento,2004,José Miguel Ribeiro,,,893576
A Language all My Own,A Language all My Own,1935,Dave Fleischer,,,26601
A Date to Skate,A Date to Skate,1938,Dave Fleischer,,,30043
A Case of Spring Fever,A Case of Spring Fever,1940,,,,282404
The Tram,Tramwaj,1966,Krzysztof Kieslowski,,,167464
Daybreak Express,Daybreak Express,1953,D A Pennebaker,,,45673
Living Wigan,Living Wigan,1902,,,,471236
Le Voyage de Gulliver à Lilliput et chez les géants,Le Voyage de Gulliver à Lilliput et chez les géants,1902,Georges Méliès,,,229024
Tom the Cat,Tom the Cat,2002,"Bastien Charrier, Patrick Jean, Lucas Salton, Neïla Terrien",,,389455
Un jour,Un jour,1997,Marie Paccou,,,162028
Magical Maestro,Magical Maestro,1952,Tex Avery,,,44868
A Lonely Sky,A Lonely Sky,2006,Nick Ryan,,,932540
Ap 2000 ,Ap 2000 ,2002,"Aurélien Delpoux, Sébastien Ebzant",,,408496
Open Book,Open Book,2005,"Iris Bonavitacola, Virginie Hanrigou, Raphaël Lev, Carole Maurel, Augustin Paliard",,,-1
I've Got to Sing a Torch Song,I've Got to Sing a Torch Song,1933,Tom Palmer,,,24167
I Haven't Got a Hat,I Haven't Got a Hat,1935,Friz Freleng,,,26510
Shuffle Off to Buffalo,Shuffle Off to Buffalo,1933,Rudolf Ising,,,24555
Zeigt,Zeigt,1969,Otmar Bauer,,,
After You're Dead,After You're Dead,2002,David Shrigley,,,
Buffalo Stockyards,Buffalo Stockyards,1897,,,,217296
Coaches Arriving at Mammoth Hot Springs,Coaches Arriving at Mammoth Hot Springs,1899,,,,242382
"It's Not Funny, It's Art","Het is niet grappig, het is Kunst",2008,Joris Oprins,,,
Burning Safari,Burning Safari,2005,"Vincent Aupetit, Maxime Maleo, Aurélien Predal, Florent de La Taille, Claude-William Trebutien, Jeanne Irzenski",,,
Paf the Mosquito,Paf le moustique,2000,"Jean-Francois Bourrel, Jerome Calvet",,,
Jurannesic,Jurannesic,2002,"Simon Pierre Andriveau, Yann Avenatia, Hervé Barbereau, Louis Clichy",,,
Cupid and Psyche,Cupid and Psyche,1897,,,,217344
Cuban Ambush,Cuban Ambush,1898,,,,229316
Carmencita,Carmencita,1894,William K L Dickson,,,1
Capsize of Lifeboat,Capsize of Lifeboat,1897,,,,217307
Caicedo (with Pole),Caicedo (with Pole),1894,William K L Dickson,,,241282
Black Diamond Express,Black Diamond Express,1896,,,,204902
"Bird's-eye View Of Dock Front, Galveston ","Bird's-eye View Of Dock Front, Galveston ",1900,,,,309364
"American Falls from Above, American Side","American Falls from Above, American Side",1896,,,,204809
Launching a Stranded Schooner from the Docks,Launching a Stranded Schooner from the Docks,1900,,,,323031
Armour's Electric Trolley,Armour's Electric Trolley,1897,,,,217256
Les Chiens et ses services,Les Chiens et ses services,1908,,,,256727
Sherlock Holmes Baffled,Sherlock Holmes Baffled,1900,,,,291476
"Panoramic View of Tremont Hotel, Galveston","Panoramic View of Tremont Hotel, Galveston",1900,,,,323566
Manchester Street Scene,Manchester Street Scene,1901,,,,471257
